;sex;group;task1;add1;sprite1;V-task1;V-add1;V-sprite1;task2.1;sprite2.1;V-task2.1;V-sprite2.1;task2.2;add2.2;sprite2.2;V-task2.2;V-add2.2;V-sprite2.2;task3.1;sprite3.1;V-task3.1;V-sprite;task3.2;add3.2;sprite3.2;V-task3.2;V-add3.2;V-sprite3.2;task4;add4;sprite4;V-task4;V-add4;V-sprite4;task5;add5;sprite5;V-task5;V-add5;V-sprite5;task6;add6;sprite6;V-task6;V-add6;V-sprite6;special;otherProjects
;f;A;correct;;;yes;yes;yes;correct;;yes;nein;correct;;;yes;nein;nein;correct;puppy;yes;yes;correct;;;yes;nein;nein;correct;;;yes;yes;nein;missing;;;missing;;;incorrect;;;nein;nein;yes;;sun, earth, cat flyying, andie (ein projekt), frank, andie, skeleton, ein projekt wie 3.2 mit ghost, gobo, nano
;m;B;correct;;;yes;yes;nein;correct;;missing;;correct;;;missing;;;missing;;missing;;;;;missing;;;;;;missing;;;incorrect;;laptop;missing;;;missing;;;missing;;;;
;m;B;correct;;magic wand;missing;;;incorrect;;yes;nein;correct;;;missing;;;missing;;missing;;correct;;;yes;nein;nein;correct;;;yes;yes;nein;incorrect;;;missing;;;incorrect;;;missing;;;;
;m;B;correct;;;yes;yes;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;yes;dinosaur2, dinosaur4, polarbear;yes;yes;yes;missing;;;missing;;;correct;yes;mouse, cat;yes;yes;yes;;projekt mit oma, opa, alexander, basti, mama, und anton (zuhause mit fenster, blumen) 
;m;B;correct;;;yes;nein;nein;incorrect;;yes;nein;missing;;;missing;;;correct;katze, cake;missing;;missing;;;missing;;;incorrect;;;missing;;;missing;;;missing;;;missing;;;missing;;;hat während der sessions 4 und 5 remixe geteilt;hat während der sessions 4 und 5 remixe geteilt
;m;B;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;yes;;yes;yes;nein;correct;unicorn2;yes;yes;correct;;;yes;nein;nein;correct;;cat2;yes;nein;yes;correct;yes;;yes;yes;nein;incorrect;;;nein;nein;yes;;"3 projekte, die nicht funktionieren (cat, room; cat, forest; iceboy vs fireboy)"
;f;C;correct;;;yes;nein;nein;correct;ballerina, theater;yes;yes;correct;;;yes;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;yes;penguin, monkey;yes;yes;yes;incorrect;;;nein;nein;nein;correct;yes;bat;yes;nein;yes;;
;f;C;correct;yes;;yes;yes;nein;correct;ballerina;yes;yes;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;yes;;yes;yes;nein;correct;yes;schmetterling,frosch, ball, space ;yes;yes;yes;correct;yes;ghost;yes;yes;yes;correct;yes;ente, hund, dragon;yes;nein;yes;;synchron-cat, gehrintraining, bogenschießen, bootsrennen
;f;C;correct;yes;;yes;yes;nein;correct;dog, casey, underwater;yes;yes;correct;;;missing;;;correct;puppy;missing;;correct;;;missing;;;correct;yes;elephant;missing;;;correct;;basketball, andie, space;missing;;;incorrect;;;missing;;;;
;f;C;correct;yes;;yes;yes;nein;incorrect;avery walking, theater;missing;;correct;;dinosaur3;yes;nein;yes;missing;;missing;;correct;;;yes;nein;nein;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;;
;m;C;correct;yes;;yes;yes;yes;correct;champ99, d-money dance;yes;yes;correct;;;yes;nein;nein;missing;;missing;;correct;;rooster;yes;nein;yes;incorrect;;owl;nein;nein;yes;missing;;;missing;;;missing;;;missing;;;;mehrere Projekte mit nur kostüm-wechsel, eine story
;f;C;missing;;;missing;;;correct;anina dance;yes;yes;correct;;;nein;nein;nein;correct;;yes;yes;correct;;unicorn2;yes;nein;yes;missing;;;missing;;;incorrect;;dinsoaur4, pufferfisch, hatchling;missing;;;missing;;;missing;;;;
;f;C;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;;yes;yes;correct;yes;;yes;yes;nein;correct;yes;wizard girl, bat, school;yes;yes;yes;correct;;;yes;nein;yes;correct;;monkey, beetle;yes;nein;yes;;zwei stories: mit wizard girl und ballerina
;f;C;correct;yes;;yes;yes;nein;correct;ballerina;yes;yes;correct;;;yes;nein;nein;correct;;yes;yes;correct;;;yes;nein;nein;missing;;;yes;nein;yes;correct;;fox;missing;;;correct;yes;cat, dot;yes;yes;yes;pink;drei geshcihten (princess, princess2, wizard girl), mathe quiz mit giga
;f;C;correct;yes;;yes;yes;nein;correct;cassy dance;yes;yes;correct;yes;;yes;yes;nein;correct;;yes;yes;correct;yes;;yes;yes;nein;correct;yes;butterfly;missing;;;correct;yes;;yes;yes;nein;correct;yes;;missing;;;;task1: rabbit with pink tail
;f;C;correct;yes;;yes;yes;nein;correct;LB dance;yes;yes;correct;;;yes;nein;nein;correct;;yes;yes;correct;;;yes;nein;nein;correct;yes;griffin, dove, centaur, unicorn;yes;yes;yes;correct;;gnom, elf, crystal;yes;nein;yes;correct;;skelet, schlüssel;yes;nein;yes;;mehrere projekte mit unicorn, watermelon, bears, party, dancing, cetaur, drache, rabbit, space (einprojekt wie task 2.2)
;m;C;correct;yes;;yes;yes;nein;correct;fox, tennis ball;yes;yes;correct;;;missing;;;missing;;missing;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;;;;missing;;;;
;m;B;missing;;;missing;;;missing;;missing;;missing;;;missing;;;missing;;missing;;missing;;;missing;;;correct;;squirrel;missing;;;missing;;;missing;;;missing;;;missing;;;;
;m;C;missing;;;missing;;;correct;party hats, cat, guitars;yes;yes;missing;;;missing;;;correct;bear;yes;yes;correct;;bat, broom;yes;nein;yes;correct;;bear, fox, hare;missing;;;correct;;crystal, fish;yes;nein;yes;missing;;;nein;nein;yes;;zwei projekte wie task4 (underwater, desert), 5 projekte wie task 2.1
;m;C;correct;;;yes;nein;nein;correct;;missing;;missing;;;missing;;;missing;;missing;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;;
;m;C;correct;;;yes;yes;nein;correct;;yes;nein;correct;;;yes;nein;nein;missing;;missing;;correct;;;yes;yes;yes;correct;yes;chick;yes;yes;nein;correct;yes;owl;yes;yes;yes;incorrect;;mouse;nein;nein;yes;;
;m;C;correct;yes;;missing;;;correct;anina dance, champ99;yes;yes;missing;;;missing;;;correct;;yes;yes;incorrect;;;missing;;;correct;yes;;missing;;;correct;;;missing;;;missing;;;missing;;;;
;m;C;correct;yes;;yes;yes;nein;correct;d-money dance;yes;yes;correct;;;yes;nein;nein;missing;;missing;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;;
;m;C;correct;yes;;missing;;;correct;champ99;yes;yes;incorrect;;;nein;nein;nein;correct;dragon;yes;yes;correct;yes;;yes;nein;nein;missing;;;missing;;;correct;;;yes;nein;nein;correct;yes;basketball, skeleton, dove, castle, canyon;yes;yes;yes;;
;m;C;correct;yes;;yes;nein;yes;correct;;yes;nein;missing;;;missing;;;missing;;missing;;missing;;;yes;nein;nein;correct;;;missing;;;correct;;;yes;nein;nein;correct;yes;tennis ball;yes;nein;yes;;
;m;C;incorrect;;;nein;nein;nein;correct;champ99;yes;yes;incorrect;;;nein;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;;bear;missing;;;correct;;;nein;nein;nein;correct;yes;cat, ball, dot, avery;yes;nein;yes;;quiz
;f;C;missing;;;;;;missing;;;;missing;;;;;;missing;;;;missing;;;;;;missing;;;;;;missing;;;;;;missing;;;;;;;
;m;D;correct;yes;;yes;yes;yes;correct;Llama;yes;yes;correct;;;missing;;;missing;;missing;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;correct;;spider, convertible;missing;;;;
;m;D;missing;;;missing;;;correct;guitar, drum kit, singer;yes;yes;missing;;;missing;;;missing;;yes;nein;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;;
;m;D;correct;;;missing;;;missing;;missing;;correct;;;yes;nein;nein;missing;;missing;;correct;yes;;yes;nein;nein;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;;hat von ilektra undinfoDidUPTeacher gerimexede projekte
;m;D;correct;yes;broom;yes;yes;nein;correct;monkey, drum kit;yes;yes;correct;;wizard;yes;nein;nein;correct;bat;yes;yes;correct;;;yes;nein;nein;correct;;cat, dog;yes;nein;yes;correct;;bat;yes;nein;yes;correct;yes;bat;nein;nein;yes;;
;m;D;correct;yes;wizard-toad, wizard hat;yes;yes;yes;correct;skeleton;missing;;correct;yes;;missing;;;correct;puppy;missing;;correct;;;missing;;;correct;;;missing;;;incorrect;;planet2, rocketship;missing;;;missing;;;missing;;;;
;m;D;missing;;;missing;;;missing;;missing;;missing;;;yes;nein;nein;correct;bear;yes;yes;correct;;;nein;nein;nein;correct;yes;starfish;missing;;;missing;;;missing;;;missing;;;missing;;;;
;m;D;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;;;missing;;;correct;;yes;nein;correct;;;nein;nein;nein;correct;yes;bat;yes;yes;yes;correct;yes;;yes;yes;nein;correct;yes;football;yes;yes;yes;;baum giesen, projekte mit einhorn, pferd, katzen und aliens
;m;D;correct;yes;dinosaur, weiswurst;missing;;;missing;;missing;;missing;;;yes;nein;nein;correct;batter;missing;;correct;;;missing;;;correct;;crab;missing;;;correct;yes;pico, donut, squirrel;missing;;;correct;yes;fox;missing;;;;mathe-quizz, spinner, schwimmwettbewerb
;m;D;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;;;missing;;;correct;;;yes;nein;yes;incorrect;;;missing;;;;
;f;D;correct;yes;monkey, unicorn;yes;yes;yes;correct;strawberry;yes;yes;correct;;;nein;nein;nein;correct;elephant;yes;yes;correct;;;yes;nein;nein;correct;yes;dinosaur1, dinosaur2;yes;nein;yes;correct;yes;dog,ball;missing;;;correct;yes;watermelon;yes;yes;yes;;
;f;D;correct;yes;hippo;yes;yes;yes;correct;strawberry;yes;yes;correct;;;yes;nein;nein;correct;duck;yes;yes;correct;;rainbow;yes;nein;yes;correct;yes;zebra, papagei;yes;yes;yes;correct;;;yes;nein;nein;missing;;;missing;;;;zwei projekte mit underwater-theme
;f;D;correct;yes;;missing;;;correct;;missing;;correct;;;missing;;;correct;unicorn;missing;;correct;;;nein;nein;nein;correct;;;missing;;;correct;;;yes;nein;yes;correct;yes;unicorn;missing;;;;zwei projekte mit underwatertheme
;f;;correct;yes;yes;yes;yes;yes;correct;yes;yes;yes;incorrect;no;yes;nein;nein;yes;correct;yes;yes;yes;incorrect;no;no;nein;nein;nein;missing;;;missing;;;incorrect;;;nein;nein;nein;missing;;;missing;;;;
;m;D;correct;;;yes;nein;nein;correct;strawberry;yes;yes;correct;;;yes;nein;yes;missing;;missing;;missing;;;missing;;;correct;;;yes;nein;nein;correct;;griffin;missing;;;correct;yes;crab, snake, soccer;yes;yes;yes;;zwei projekte wie 2.1 mit tieren am gleichen session-datum
;f;D;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;puppy;yes;yes;correct;;;yes;nein;nein;correct;;;missing;;;correct;yes;puppy, ball, dot, broom;yes;nein;yes;correct;yes;spongebob, patrick, putzer, schild;missing;;;;zeichnen üben, bootsrenne, synocchronschwimmen, bbogenschießen, gehrintraining
;m;D;correct;yes;;yes;yes;nein;correct;cassy dance;yes;yes;correct;;;yes;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;yes;butterfly;yes;yes;nein;correct;;;missing;;;correct;yes;ball, bowtie;missing;;;;
;f;D;correct;yes;duck, soccer ball;yes;yes;yes;correct;;yes;nein;correct;;bowtie;nein;nein;nein;correct;elephant, muffin;yes;yes;correct;;donut, heart;yes;nein;nein;correct;yes;chick;yes;yes;nein;correct;yes;;yes;yes;yes;correct;yes;;missing;;;;mathe-quiz, zwei projekte wie task 3.2
;f;D;correct;yes;;;;;correct;;;;correct;;;;;;correct;;;;correct;;;;;;missing;;;;;;correct;;parrot, apple, baseball;;;;correct;;basketball, bat;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28;;;;;;31;;;;28;;;;;;28;;;;29;;;;;;21;;;;;;24;;;;;;17;;;;;;;
;;;32;;;;;;27;;;;24;;;;;;23;;;;26;;;;;;24;;;;;;21;;;;;;17;;;;;;;
;;;19;;;;;;15;;;;24;;;;;;27;;;;22;;;;;;37;;;;;;32;;;;;;46;;;;;;;
;;;7;;;;;;4;;;;7;;;;;;7;;;;5;;;;;;12;;;;;;10;;;;;;20;;;;;;;
;;;12;;;;;;11;;;;17;;;;;;20;;;;17;;;;;;25;;;;;;22;;;;;;26;;;;;;;
;;;10;;;;;;7;;;;14;;;;;;19;;;;13;;;;;;21;;;;;;18;;;;;;25;;;;;;;
;;;5;;;;;;1;;;;3;;;;;;5;;;;3;;;;;;11;;;;;;5;;;;;;11;;;;;;;
;;;5;;;;;;6;;;;11;;;;;;14;;;;10;;;;;;10;;;;;;13;;;;;;14;;;;;;;
;;;41;;;;;;-;;;;5;;;;;;-;;;;10;;;;;;28;;;;;;23;;;;;;26;;;;;;;
;;;23;;;;;;-;;;;3;;;;;;-;;;;6;;;;;;17;;;;;;15;;;;;;12;;;;;;;
;;;16;;;;;;-;;;;2;;;;;;-;;;;4;;;;;;12;;;;;;11;;;;;;16;;;;;;;
;;;14;;;;;;32;;;;4;;;;;;29;;;;11;;;;;;33;;;;;;31;;;;;;33;;;;;;;
;;;9;;;;;;14;;;;3;;;;;;18;;;;8;;;;;;17;;;;;;19;;;;;;16;;;;;;;
;;;5;;;;;;18;;;;1;;;;;;11;;;;3;;;;;;16;;;;;;12;;;;;;17;;;;;;;
;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
